date_recd,company,city,county,num_affected,date_layoff,phone,union,warn-id,year,union_rep
2015-03-24,"Worthington
Industries",bremen,fairfield,78,2015-03-24,(740) 569‐4143,NA,020‐14‐042,2015,0
2015-03-24,Worthington Industries,wooster,wayne,33,2015-03-24,(330) 262‐6946,NA,007‐14‐041,2015,0
2015-03-19,AEP Generation Resources Inc Muskingum River Plant,waterford (beverly),washington,62,2015-05-31,(740) 984‐3450,NA,015‐14‐040,2015,0
2015-03-11,"The Tamarkin
Company",austintown,mahoning,196,2015-05-09,(412) 967‐3638,Teamsters Local No. 377,017‐14‐039,2015,1
2015-03-04,"WP Glimcher (Dayton
and Fairfield Commons)",various,various,87,NA,(614) 621‐9000,NA,007‐14‐038,2015,0
2015-03-04,WP Glimcher (Polaris),columbus,franklin,45,NA,(614) 621‐9000,NA,011‐14‐037,2015,0
2015-02-02,"Bonne Bell, Inc.",westlake,cuyahoga,91,2015-03-29,(440) 808‐2501,NA,003‐14‐036,2015,0
2015-01-26,"Exel, Inc.",columbus,franklin,278,2015-04-17,(614) 865‐8901,NA,011‐14‐035,2015,0
2015-01-07,Market Day LLC,various,various,107,2015-03-07,(630) 285‐3391,NA,099‐14‐034,2015,0
2015-01-12,Macy's,columbus,franklin,109,2015-03-16,(646) 429‐4729,NA,011‐14‐033,2015,0
2015-01-08,"Trulite Glass Company
LLC",hebron,licking,70,2015-03-08,(954) 724‐1775,NA,007‐14‐032,2015,0
2015-01-07,"United States Steel
Corporation Lorain",lorain,lorain,636,2015-03-08,(440) 240‐2804,USW,002‐14‐031,2015,1
2015-01-05,"A. Schulman, Inc",stryker,williams,67,2015-03-02,(330) 668‐4503,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW Local 211, and UAW Region 2B",007‐14‐030,2015,1
2016-12-30,"Nationwide Mutual
Insurance Company",highland hills,cuyahoga,29,2017-03-01,(614) 249‐2763,NA,003‐16‐050,2016,0
2016-12-05,Parker Hannifin Corp,youngstown,mahoning,19,2017-01-23,(330) 270‐6102,"United Steelworkers
Local 2332",017‐16‐049,2016,1
2016-12-05,Wrayco LLC,stow,summit,79,2017-01-31,(574) 229‐6275,NA,002‐16‐048,2016,0
2016-12-01,Alliance Casting Company LLC,alliance,stark,435,2017-01-31,(330) 829‐5600,"United Steelworkers of America AFL‐CIO‐CLC,
Local 2211",006‐16‐047,2016,1
2016-12-01,Alliance Casting Company LLC,alliance,stark,435,2017-01-31,(330) 829‐5600,"International Association of Machinists and Aerospace Workers,
District Lodge 54",006‐16‐047,2016,1
2016-12-01,"Transamerica Life
Insurance Company",west chester,butler,135,2017-02-03,(319) 355‐2464,NA,012‐16‐046,2016,0
2016-11-29,Limited Stores LLC,new albany,franklin,246,2016-12-02,(614) 289‐2500,NA,025‐16‐045,2016,0
2016-11-29,Healthspan Partners North Point,brooklyn heights,cuyahoga,58,2016-11-29,(216) 3724259,NA,018‐16‐044,2016,0
2016-11-22,"Comprehensive
Logistics Inc.",austintown,mahoning,NA,2017-01-23,(330) 793‐8097,NA,017‐16‐043,2016,0
2016-11-22,First Solar Inc,perrysburg,wood,459,2016-11-17,(419) 662‐6203,NA,007‐16‐042,2016,0
2016-11-16,"Lordstown Seating
Systems",warren,trumbull,126,2017-01-20,(330) 824‐3101,UAW 1112,018‐16‐041,2016,1
2016-11-16,"Frontier Communications
Corporations",marion,marion,7,2017-01-16,(585) 777‐8242,NA,007‐16‐040,2016,0
2016-11-14,Commercial Metal Forming,youngstown,mahoning,90,2016-11-28,(330) 740‐8502,"United Steelworkers, Local 2332‐1, United Steelworkers International Union",017‐16‐009,2016,1
2016-11-09,General Motors LLC,warren,trumbull,1202,2017-01-23,(330) 824‐5810,"U.A.W. International
Union",018‐16‐039,2016,1
2016-11-07,Holloway,sidney,shelby,54,2016-12-31,(937) 494‐2500,NA,007‐16‐038,2016,0
2016-11-03,Frontier Communications,marion,marion,247,2017-01-03,(585) 777‐8242,"Local 4371, Communications Workers of America,
AFL‐CIO",007‐16‐037,2016,1
2016-11-02,Carnival Foods & Pharmacy,lancaster,fairfield,55,2016-12-30,(740) 503‐8594,NA,020‐16‐036,2016,0
2016-11-02,Carnival Foods & Pharmacy,circleville,pickaway,46,2016-12-30,(740) 503‐8594,NA,020‐16‐036,2016,0
2016-11-02,Carnival Foods & Pharmacy,heath,licking,46,2016-12-30,(740) 503‐8594,NA,020‐16‐036,2016,0
2016-11-02,Spring Meadow Senior Community,holland,lucas,122,2017-01-01,(419) 866‐6124,"Service Employees International Union District 1199, WV, KY OH, Health Care and Social Service Union,
CTW, CLC.",009‐16‐035,2016,1
2016-11-02,Mondi Akrosil LLC,lancaster,fairfield,80,2017-01-01,(404) 869‐9054,NA,020‐16‐034,2016,0
2016-10-31,Parker Hannifin Corp,youngstown,mahoning,13,2016-12-24,(330) 270‐6102,"United Steelworkers
Local 2332",017‐16‐033,2016,1
2016-10-28,"Kyklos Bearing
International LLC",sandusky,erie,400,2016-12-31,(419) 627‐7183,"United Autoworkers
Union Local 913",007‐16‐032,2016,1
2016-10-26,Elmer's Products Inc,westerville,delaware,42,2016-12-31,(614) 985‐2629,NA,007‐16‐031,2016,0
2016-10-17,"Thermo Fisher
Scientific",cleveland,cuyahoga,92,2016-12-30,(216) 378‐5805,NA,003‐16‐030,2016,0
2016-10-24,"Broadridge Financial
Solutions",columbus,franklin,62,2017-01-16,(631) 257‐4114,NA,011‐16‐029,2016,0
2016-10-17,"Ohio Valley Coal Company Powhatan
No. 6 Mine",st. clairsville,belmont,492,2016-12-11,(740) 338‐3100,United Mine Workers of America,016‐16‐028,2016,1
2016-10-13,Dental One,independence,cuyahoga,53,2016-12-31,(972) 755‐0835,NA,003‐16‐027,2016,0
2016-09-30,Kmart Store #4910,mentor,lake,112,2016-12-04,(847) 286‐5904,NA,005‐16‐026,2016,0
2016-09-27,Cast‐Fab Technologies,cincinnati,hamilton,97,2016-11-23,(513) 758‐1108,NA,013‐16‐025,2016,0
2016-09-27,"Hyundai Ideal Electric
Co.",mansfield,richland,50,2016-11-22,(419) 522‐3611,USW Local 8530,010‐16‐024,2016,1
2016-09-21,Parker Hannifin Corp,youngstown,mahoning,7,2016-11-18,(330) 270‐6102,"United Steelworkers
Local 2332",017‐16‐023,2016,1
2016-09-16,Executive Jet Management (Lunken Repair Shop),cincinnati,hamilton,80,2016-12-02,(513) 979‐6019,NA,013‐16‐022,2016,0
2016-09-12,The Service Companies (Jack Thistledown Racino),north randall,cuyahoga,96,2016-11-11,(901) 870‐5432,NA,003‐16‐021,2016,0
2016-09-06,"Performance
Technologies LLC",canton,stark,52,2016-10-29,(405) 608‐7248,NA,006‐16‐020,2016,0
2016-09-06,Elmer's Products Inc,westerville,delaware,10,2016-09-30,(614) 985‐2629,NA,007‐16‐019,2016,0
2016-08-31,General Mills Inc,caledonia,marion,182,2016-10-31,(419) 845‐3751,"The Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union (BCTGM) No. 57",007‐16‐018,2016,1
2016-08-22,"The Ohio Valley Coal
Company",st. clairesville,belmont,67,2016-10-31,(740) 338‐3100,"United Mine Workers of
America",016‐16‐017,2016,1
2016-08-15,Parker Hannifin Corp,youngstown,mahoning,3,2016-10-14,(330) 270‐6102,"United Steelworkers
Local 2332",017‐16‐016,2016,1
2016-08-12,3M Company,milford,clermont,135,2016-10-07,(513) 272‐5056,"Workers United Union,
Local 504",012‐16‐015,2016,1
2016-08-09,HCSG Labor Supply LLC,columbus,franklin,47,2016-08-05,(267) 525‐3489,NA,011‐16‐014,2016,0
2016-08-03,"Packers Sanitation
Services Inc.",hamilton,butler,6,2016-08-26,(608) 568‐2100,NA,012‐16‐013,2016,0
2016-08-01,"UnitedHealth Group
Optum",avon lake,lorain,115,2016-10-03,(562)926‐4716,NA,004‐16‐012,2016,0
2016-07-26,Parker Hannifin Corp.,youngstown,mahoning,7,2016-09-23,(330) 270‐6102,"United Steelworkers
Local 2332",017‐16‐011,2016,1
2016-07-19,InDyne,wright‐patterson air force base,greene,NA,2016-09-30,(850) 8824983,NA,007‐16‐010,2016,0
2016-07-15,Commercial Metal Forming,youngstown,mahoning,90,2016-09-13,(330) 740‐8502,"United Steelworkers, Local 2332‐1, United Steelworkers
International Union",017‐16‐009,2016,1
2016-07-12,Synchrony Bank Consumer Operations Contact Center,canton,stark,57,2016-09-10,(330) 433‐5150,NA,006‐16‐008,2016,0
2016-07-05,HealthSpan Partners,brooklyn heights,cuyahoga,15,2016-08-31,(216) 372‐4259,"Office and Professional Employees International Union, Local 17",003‐16‐007,2016,1
2016-07-05,"American Energy
Corporation",beallsville,monroe,439,2016-08-29,(740) 338‐3100,NA,015‐16‐006,2016,0
2016-07-05,American Natural Gas,gallipolis,gallia,17,2016-08-29,(740) 338‐3100,NA,007‐16‐005,2016,0
2016-07-05,"Murray American
Energy",st. clairsville,belmont,16,2016-08-29,(740) 338‐3100,"United Mine Workers of
America",016‐16‐004,2016,1
2016-07-05,"Ohio Valley
Transloadling Company",powhatan point,belmont,9,2016-08-29,(740) 338‐3100,United Mine Workers of America,016‐16‐003,2016,1
2016-07-05,"American Mine
Services",clarington,monroe,40,2016-08-29,(740) 338‐3100,NA,015‐16‐002,2016,0
2016-07-05,"Corporate Aviation
Services",st. clairsville,belmont,5,2016-08-29,(740) 338‐3100,NA,016‐16‐001,2016,0
2016-06-22,IntelliSource LLC,lockbourne,franklin,107,2016-08-24,(303) 692‐1100,NA,011‐15‐092,2016,0
2016-06-22,IntelliStaff LLC,lockbourne,franklin,128,2016-08-24,(303) 692‐1100,NA,011‐15‐091,2016,0
2016-06-22,Parker Hannifin Corp.,youngstown,mahoning,12,2016-08-19,(330) 270‐6102,"United Steelworkers
Local 2332",017‐15‐090,2016,1
2016-06-13,HealthSpan Partners,brooklyn heights,cuyahoga,15,2016-07-31,(216) 372‐4259,"Office and Professional Employees International Union, Local 17",003‐15‐089,2016,1
2016-06-08,"Hyundai Ideal Electric
Company",mansfield,richland,50,2016-08-12,(419) 522‐3611,USW Local 8530,010‐15‐088,2016,1
2016-06-06,Republic Airways,columbus,franklin,161,2016-06-20,(317) 471‐2013,NA,011‐15‐087,2016,0
2016-06-02,"The Ohio Valley Coal
Company Powhatan No. 6 Mine",alledonia,belmont,40,2016-08-01,(740) 338‐3100,United Mine Workers of America,016‐15‐086,2016,1
2016-06-06,"Experience Works
(Green Thumb)",lima,allen,6,2016-07-01,(703) 682‐2517,NA,007‐15‐085,2016,0
2016-06-06,Sodexo (at Wittenberg University),springfield,clark,64,2016-06-30,NA,NA,007‐15‐084,2016,0
2016-05-26,Pei Wei,various,various,71,2016-05-31,(480) 888‐3000,NA,011‐15‐083,2016,0
2016-05-18,"Olympus Building
Services Inc.",columbus,franklin,115,2016-06-30,(614) 247‐5917,NA,011‐15‐082,2016,0
2016-05-16,Sears Holdings,defiance,defiance,24,2016-08-07,(847) 286‐2500,NA,007‐15‐081,2016,0
2016-05-16,Parker Hannifin,youngstown,mahoning,3,2016-07-15,(330) 270‐6102,"United Steelworkers
Local 2332",017‐15‐080,2016,1
2016-05-16,"McDonald's
Corporation",columbus,franklin,70,2016-07-15,(630) 623‐7576,NA,011‐15‐079,2016,0
2016-05-16,HealthSpan Partners,brooklyn heights,cuyahoga,6,2016-06-30,(216) 372‐4259,"Teamsters Local Union
No. 244",003‐15‐078,2016,1
2016-05-05,RSR Partners LLC,upper sandusky,wyandot,30,2016-07-04,(773)  382‐0659,NA,007‐15‐077,2016,0
2016-05-04,"Impact Community
Action",columbus,franklin,16,2016-06-30,(614) 453‐1615,NA,011‐15‐076,2016,0
2016-05-04,Plasti‐Kote Company Inc.,medina,medina,10,2016-07-01,(773) 628‐5626,International Association of Machinist & Aerospace Workers,002‐15‐075,2016,1
2016-05-02,"American Modern
Insurance Group",amelia,clermont,68,2016-06-25,(513) 947‐6128,NA,012‐15‐074,2016,0
2016-05-02,KMART STORE #4745,ashtabula,ashtabula,131,2016-07-24,(847) 286‐5904,NA,019‐15‐073,2016,0
2016-05-02,KMART STORE #3910,lorain,lorain,215,2016-07-24,(847) 286‐5904,NA,004‐15‐072,2016,0
2016-04-28,Direct Energy,miamisburg,montgomery,50,2016-07-01,(713) 877‐3500,NA,007‐15‐071,2016,0
2016-04-27,Sears Auto Center,ashtabula,ashtabula,6,2016-07-31,(518) 588‐0726,NA,019‐15‐070,2016,0
2016-04-20,Columbus Castings,columbus,franklin,799,2016-06-21,(614) 445‐2048,NA,011‐15‐069,2016,0
2016-04-20,"Measurement Specialties INC (TE
CONNECTIVITY)",dayton,greene,10,2016-06-30,(757) 766‐4381,NA,007‐15‐068,2016,0
2016-04-19,"Lamplight Inn of
Maple Heights",maple heights,cuyahoga,54,2016-07-14,(216) 510‐4336,NA,003‐15‐067,2016,0
2016-04-18,"Performance
Technologies LLC",canton,stark,87,2016-06-13,(405) 608‐7248,NA,006‐15‐066,2016,0
2016-04-14,Eaton Corporation,aurora,portage,152,2016-06-10,(330) 562‐3956,NA,019‐15‐065,2016,0
2016-04-06,Pilot Thomas Logistics (Maxum Petroleum Operating Company),louisville,stark,58,2016-04-12,(817) 877‐8337,NA,006‐15‐064,2016,0
2016-03-22,University Park Nursing and Rehabilitation Center,akron,summit,35,NA,(330) 434‐4514,NA,002‐15‐063,2016,0
2016-03-21,"Parker Hannifin
Corporation",youngstown,mahoning,2,2016-05-13,(330)270‐6102,"United Steelworkers
Local 2332",017‐15‐062,2016,1
2016-03-21,HealthSpan Partners,brooklyn heights,cuyahoga,15,2016-05-13,(216) 372‐4259,"OPEIU, Local 17,
Teamsters Local Union No. 244",003‐15‐061,2016,1
2016-03-15,Meijer Store #62,columbus,franklin,201,2016-06-18,(616) 249‐6570,"United Food and Commercial Workers International Union,
Local 1059",011‐15‐060,2016,1
2016-03-11,Meggitt Aircraft Braking Systems Corporation,akron,summit,38,2016-05-13,(330) 796‐3582,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",002‐15‐059,2016,1
2016-03-03,St. Aloysius,hamilton,butler,38,2016-03-01,(513) 852‐1745,NA,012‐15‐058,2016,0
2016-03-03,St. Aloysius,cincinnati,hamilton,38,2016-03-01,(513) 852‐1745,NA,012‐15‐058,2016,0
2016-03-07,Shenker Inc.,groveport,franklin,151,2016-05-01,(714) 920‐7164,NA,011‐15‐057,2016,0
2016-03-01,CVS Pharmacy Inc.,toledo,lucas,66,2016-04-26,(317) 610‐4331,NA,009‐15‐056,2016,0
2016-02-29,"Measurement
Specialties Inc.",dayton,montgomery,58,2016-04-29,(757) 766‐4381,NA,007‐15‐055,2016,0
2016-02-24,TTI Floor Care North America,north canton,stark,NA,2016-05-09,(704) 960‐9761,"International Brotherhood of Electrical Workers, Local
No. 1985",006‐15‐054,2016,1
2016-02-18,"Flowserve Corporation
US Inc.",dayton,montgomery,80,2016-05-05,(937) 226‐4080,NA,007‐15‐053,2016,0
2016-02-17,Elmer's Products Inc.,westerville,franklin,116,2016-04-29,(614) 985‐2629,NA,007‐15‐052,2016,0
2016-02-17,Elmer's Products Inc.,columbus,franklin,4,2016-04-29,(614) 985‐2629,NA,007‐15‐052,2016,0
2016-02-16,"Buckeye Launderers
and Cleaners",napoleon,henry,54,2016-02-12,(419) 882‐7100,NA,007‐15‐051,2016,0
2016-02-11,Eaton Corporation,berea,cuyahoga,102,2016-04-09,(440) 260‐8687,NA,003‐15‐050,2016,0
2016-02-08,IPSCO Tubular INC.,brookfield,trumbull,106,2016-04-04,(281) 949‐1023,NA,018‐15‐049,2016,0
2016-02-08,Omnicare Inc.,cincinnati,hamilton,13,2016-05-27,(401) 770‐5830,NA,013‐15‐048,2016,0
2016-02-04,"Acrux Investigation Agency, LTD and Surmount Solutions
Group",marysville,union,93,2016-02-22,(937) 537‐0503,NA,007‐15‐047,2016,0
2016-02-01,Bakery Crafts,west chester,butler,53,2016-04-05,(513) 881‐4107,NA,012‐15‐046,2016,0
2016-02-01,HealthSpan Partners,brooklyn heights,cuyahoga,83,2016-03-31,(216) 372‐4259,"OPEIU, Local 17",003‐15‐045,2016,1
2016-02-01,Parker Hannifin,youngstown,mahoning,107,2016-03-18,(330) 270‐6102,"United Steelworkers
Local 2332",017‐15‐044,2016,1
2016-01-28,HealthSpan Physicians LLC,NA,NA,115,2016-03-31,(216) 623‐8781,NA,003‐15‐043,2016,0
2016-01-15,Walmart Bedford,bedford,cuyahoga,351,2016-04-15,(440) 279‐0308,NA,003‐15‐042,2016,0
2016-01-14,Parking Solutions Inc.,columbus,franklin,44,NA,(614) 453‐1528,NA,011‐15‐041,2016,0
2016-01-13,Professional Transportation Inc.,walbridge,wood,82,2016-03-15,(812) 485‐3527,"United Service Employees Union, Local
1222",007‐15‐040,2016,1
2016-01-12,Plasti‐Kote Company,medina,medina,98,2016-04-30,(773) 628‐5626,NA,002‐15‐039,2016,0
2016-01-12,Macy's Akron,akron,summit,91,2016-03-14,(646) 429‐4729,NA,002‐15‐038,2016,0
2016-01-12,"Warren Steel Holdings
LLC",warren,trumbull,162,2016-01-09,(248) 486‐0112,"United Steel Workers
Union",018‐15‐037,2016,1
2016-01-11,Republic Steel,lorain,lorain,242,2016-03-08,(330) 438‐5231,"United Steel Workers
Union",004‐15‐036,2016,1
2016-01-05,Eddie Bauer,groveport,franklin,315,2016-03-07,(614) 497‐1469,NA,011‐15‐035,2016,0
2017-12-20,Union Metal Corporation,canton,stark,339,2017-12-11,(330) 458-5231,USW 9094,006-17-037,2017,1
2017-12-18,Licking County Transit Operation,newark,licking,48,2018-01-01,(843) 718-9897,NA,007-17-036,2017,0
2017-12-15,"Technical Consumer Products, Inc.",aurora,portage,34,2018-02-11,(330) 995-1333,NA,019-17-035,2017,0
2017-12-05,"New Avon, LLC",springdale,hamilton,55,2018-02-05,(212) 282-6121,NA,013-17-034,2017,0
2017-12-04,Fram Group Operations LLC Autolite Spark Plug Plant,fostoria,seneca,62,2018-01-31,(419) 436-5643,"United Automobile
Workers of America,",007-17-033,2017,1
2017-11-15,Kmart Store 03589,cleveland,cuyahoga,69,2018-01-21,(847) 286-5904,NA,003-17-032,2017,0
2017-11-15,"Quad/Graphics, Inc.",columbus,franklin,116,2017-12-08,(414) 566-2418,NA,011-17-031,2017,0
2017-11-15,CGI Federal Inc.,cleveland,cuyahoga,64,2018-01-08,(210) 278-3410,NA,003-17-030,2017,0
2017-11-08,Zenith Education Group,columbus,franklin,31,2018-01-08,(651) 325-3214,NA,011-17-029,2017,0
2017-11-02,"Sodexo, Inc",cleveland,cuyahoga,30,2017-12-31,(216) 347-7259,NA,003-17-028,2017,0
2017-09-26,M and G Polymers USA LLC,sharon center,medina,NA,2017-11-20,(304) 576-4529,NA,002-17-027,2017,0
2017-10-31,TMS International LLC,middletown,butler,99,2018-01-01,(513) 422-4572,"International Union of Operating Engineers, Laborer's International Union of North America,
International",012-17-026,2017,1
2017-10-27,X-spine Systems Inc.,miamisburg,montgomery,54,2017-12-02,(937) 847-8400,NA,007-17-025,2017,0
2017-10-26,American Signature Inc.,columbus,franklin,13,2017-12-02,(614) 449-6132,NA,011-17-024,2017,0
2017-10-25,FCA Transport LLC,toledo,lucas,83,2018-01-02,(313) 252-2564,UAW Local 12,009-17-023,2017,1
2017-10-24,HealthSpan Partners,cleveland,cuyahoga,12,2017-12-29,(216) 479-5391,NA,003-17-022,2017,0
2017-10-05,Spartech LLC,greenville,darke,57,2017-12-06,(330) 421-8778,NA,007-17-021,2017,0
2017-10-02,Faurecia Clean Mobility Toledo Customer Center,toledo,lucas,8,2017-12-31,(812) 764-9716,NA,009-17-020,2017,0
2017-09-28,JLG Industries Manufacturing Operations,orrville,wayne,157,2017-09-30,(717) 494-9028,NA,007-17-019,2017,0
2017-09-26,Livingston Care Center,dayton,montgomery,49,NA,(513) 561-4105,NA,007-17-018,2017,0
2017-09-19,Peoples Bank-National Mortgage Business Division,westerville,franklin,31,2017-10-31,(913) 239-1760,NA,011-17-017,2017,0
2017-09-06,Data Cooling Technologies LLC,streetsboro,portage,125,2017-09-05,(330) 954-3807,NA,019-17-016,2017,0
2017-09-05,BWAY Corporation,hubbard,trumbull,55,2017-11-01,(630) 203-4087,NA,018-17-015,2017,0
2017-08-25,Demag Cranes & Components Corp,solon,cuyahoga,91,2017-10-20,(440) 349-8234,"Teamsters Union Local
No. 293",003-17-014,2017,1
2017-08-09,dlhBOWLES,carrollton,carroll,94,NA,(410) 381-0400,NA,016-17-013,2017,0
2017-07-31,New York Community Bancorp Inc.,brooklyn,cuyahoga,14,2017-09-29,(216) 588-7116,NA,003-17-012,2017,0
